epoch,tr_loss,tr_acc,vl_loss,vl_acc
1,1.2098541858191163,0.4487763576986655,1.1058725171789117,0.5115596330275229
2,1.1244967257606933,0.49566584687336207,1.070601461983602,0.5231192660550459
3,1.1018170111603167,0.5078821110349554,1.048874991683785,0.5306422018348624
4,1.0836657414978292,0.5132040478974318,1.0429395257879834,0.5295412844036698
5,1.0631134562476414,0.5275571503447164,1.0425242581498733,0.5341284403669725
6,1.0535186601012905,0.5289682699673427,1.0357341422072244,0.535045871559633
7,1.0427960667577294,0.5345321130508406,1.023041995249757,0.5431192660550459
8,1.0291457973540477,0.5430794661936056,1.0225924770985175,0.5455045871559633
9,1.0224819720567622,0.5448131274442608,1.0155215123159076,0.5519266055045872
10,1.0127355359434307,0.5540861992500907,1.0243916861070406,0.5390825688073394
11,0.9668695574008048,0.5754948998105068,0.9316457409596225,0.5858715596330275
12,0.8751072462855273,0.6215780349151312,0.8975914207073526,0.6044036697247707
13,0.8187741660672379,0.6487521670765634,0.8702525516278153,0.6211009174311927
14,0.7642937140787186,0.6743539088013547,0.8637649174786489,0.6286238532110092
15,0.7256515301826792,0.6909648026448414,0.8610739003408939,0.636697247706422
16,0.6918048227360348,0.7072934725638028,0.8695978257634224,0.6352293577981651
17,0.6649744527856991,0.720961174051526,0.8665645324965136,0.6344954128440367
18,0.6475286701715834,0.7285005846067008,0.8642855450757053,0.6449541284403669
19,0.6464831827172578,0.7305971051888884,0.8668677111175083,0.6379816513761468
20,0.6401444069585488,0.7345079224287384,0.8612956955454765,0.6394495412844037
