epoch,tr_loss,tr_acc,vl_loss,vl_acc
1,0.21073663963889372,0.9571019634721606,0.8311440396466113,0.7840366972477064
2,0.025379918848857305,0.9931863081078902,1.0109614044448378,0.7855045871559633
3,0.01806052028019052,0.9944764746200057,1.1229100339744378,0.786605504587156
4,0.014426240555944162,0.9961295004636536,1.213825160616009,0.7875229357798165
5,0.01291943543047049,0.9960085473531428,1.2444172991782325,0.7878899082568808
6,0.012204425604398845,0.9962907712776681,1.2766945788078436,0.7873394495412844
7,0.01103540152618391,0.9964117243881788,1.311240717449627,0.7860550458715596
8,0.010074942718396658,0.9968955368302221,1.326615691581536,0.7888073394495413
9,0.008521914500693669,0.9975406200862799,1.3831393785158668,0.7842201834862386
10,0.00884061029218208,0.9968955368302221,1.3876694498049018,0.7860550458715596
11,0.014106304002617571,0.9954844172075958,1.4296631858217277,0.7811009174311927
12,0.008608729237626895,0.9972583961617546,1.4742621308253487,0.7851376146788991
13,0.006898736216034555,0.9977825263073016,1.5176523922578167,0.7849541284403669
14,0.0056640630613483,0.9979034794178123,1.5825812021377732,0.7877064220183486
15,0.005258634233521413,0.9983066564528484,1.5431165779786387,0.7875229357798165
16,0.0036106509379869724,0.9989920574124098,1.576173896587214,0.7891743119266055
17,0.0036648566241987966,0.9990323751159134,1.5974900260430858,0.7891743119266055
18,0.0024981160599641047,0.9991533282264242,1.610287078602315,0.7869724770642201
19,0.0020480735433603377,0.9993549167439423,1.6156889057841475,0.7893577981651376
20,0.0018083195057370367,0.9994758698544531,1.6193556555611783,0.7891743119266055
